iter	Passed	Remaining
0	134	134715
1	136	67962
2	137	45562
3	138	34382
4	138	27646
5	139	23126
6	140	19901
7	140	17481
8	141	15593
9	142	14080
10	142	12846
11	143	11813
12	144	10940
13	144	10192
14	145	9568
15	146	8999
16	146	8495
17	147	8046
18	148	7662
19	149	7329
20	150	7012
21	151	6719
22	151	6449
23	152	6204
24	153	5980
25	154	5769
26	154	5570
27	155	5388
28	155	5217
29	156	5058
30	157	4908
31	157	4769
32	158	4648
33	159	4532
34	160	4416
35	160	4305
36	161	4203
37	162	4118
38	163	4030
39	164	3946
40	165	3863
41	165	3783
42	166	3708
43	167	3636
44	168	3566
45	168	3499
46	169	3436
47	170	3374
48	170	3317
49	171	3259
50	172	3204
51	172	3151
52	173	3099
53	174	3050
54	174	3002
55	175	2961
56	176	2924
57	177	2883
58	178	2843
59	179	2807
60	179	2770
61	180	2734
62	181	2698
63	182	2665
64	183	2635
65	184	2605
66	185	2578
67	185	2547
68	186	2518
69	187	2488
70	187	2458
71	188	2430
72	189	2402
73	190	2378
74	190	2354
75	191	2333
76	193	2319
77	194	2296
78	195	2273
79	195	2251
80	196	2228
81	197	2208
82	197	2185
83	198	2168
84	199	2149
85	200	2133
86	201	2114
87	202	2095
88	202	2075
89	203	2059
90	204	2044
91	205	2028
92	206	2013
93	207	1998
94	208	1981
95	208	1966
96	209	1953
97	211	1944
98	212	1932
99	213	1922
100	214	1907
101	214	1892
102	215	1877
103	216	1863
104	216	1849
105	217	1835
106	218	1824
107	219	1813
108	220	1800
109	221	1788
110	221	1777
111	222	1767
112	223	1758
113	225	1749
114	225	1737
115	226	1726
116	227	1713
117	227	1702
118	228	1691
119	229	1681
120	230	1674
121	238	1716
122	239	1705
123	239	1694
124	240	1684
125	241	1675
126	242	1663
127	242	1654
128	243	1646
129	244	1636
130	245	1626
131	246	1620
132	247	1610
133	248	1605
134	249	1598
135	250	1590
136	252	1588
137	253	1581
138	253	1572
139	254	1563
140	255	1555
141	255	1545
142	256	1537
143	257	1528
144	258	1521
145	258	1513
146	259	1505
147	260	1501
148	261	1493
149	262	1487
150	263	1481
151	264	1474
152	265	1469
153	266	1463
154	267	1455
155	267	1448
156	268	1441
157	269	1434
158	269	1428
159	270	1420
160	271	1413
161	271	1406
162	272	1400
163	273	1394
164	274	1388
165	274	1381
166	275	1374
167	276	1367
168	277	1363
169	278	1358
170	279	1354
171	280	1348
172	281	1343
173	281	1337
174	282	1331
175	283	1325
176	283	1319
177	284	1313
178	285	1307
179	285	1302
180	286	1296
181	287	1292
182	288	1288
183	289	1282
184	289	1277
185	290	1271
186	292	1271
187	293	1266
188	294	1261
189	294	1256
190	295	1251
191	296	1247
192	297	1242
193	298	1238
194	298	1233
195	299	1228
196	300	1226
197	301	1223
198	303	1220
199	303	1215
200	304	1210
201	305	1208
202	307	1207
203	309	1209
204	310	1205
205	311	1200
206	312	1196
207	313	1192
208	313	1187
209	314	1182
210	315	1178
211	316	1175
212	317	1172
213	318	1168
214	318	1164
215	319	1160
216	321	1158
217	321	1154
218	322	1150
219	323	1146
220	324	1142
221	324	1138
222	325	1134
223	326	1130
224	327	1126
225	327	1122
226	328	1119
227	329	1115
228	330	1111
229	331	1108
230	331	1104
231	332	1100
232	333	1096
233	333	1092
234	335	1091
235	336	1088
236	337	1085
237	337	1081
238	338	1078
239	339	1074
240	339	1070
241	340	1067
242	341	1063
243	342	1059
244	342	1056
245	343	1054
246	345	1051
247	345	1048
248	346	1044
249	347	1041
250	347	1037
251	348	1033
252	349	1033
253	351	1031
254	352	1028
255	352	1025
256	353	1023
257	354	1019
258	355	1016
259	356	1013
260	356	1010
261	357	1006
262	358	1003
263	358	1000
264	360	999
265	361	996
266	361	993
267	362	990
268	364	990
269	365	988
270	366	985
271	367	982
272	368	981
273	369	980
274	371	978
275	372	976
276	373	973
277	373	970
278	374	968
279	375	966
280	376	963
281	377	960
282	378	958
283	379	955
284	379	953
285	380	950
286	381	947
287	382	944
288	382	942
289	383	939
290	384	936
291	384	933
292	385	930
293	386	928
294	388	927
295	389	925
296	390	923
297	390	920
298	391	917
299	392	914
300	393	913
301	394	911
302	395	909
303	396	906
304	396	904
305	397	901
306	398	899
307	399	896
308	399	894
309	401	893
310	402	890
311	402	888
312	403	885
313	404	883
314	405	880
315	405	878
316	406	875
317	407	873
318	408	871
319	409	869
320	410	867
321	410	864
322	411	862
323	412	860
324	413	857
325	413	855
326	414	853
327	415	851
328	416	848
329	416	846
330	417	844
331	418	841
332	418	838
333	419	836
334	420	833
335	420	831
336	421	830
337	423	828
338	424	828
339	425	826
340	426	823
341	427	821
342	427	819
343	428	817
344	429	814
345	430	812
346	431	811
347	432	809
348	432	807
349	433	804
350	433	802
351	434	800
352	435	797
353	435	795
354	437	794
355	438	792
356	439	790
357	439	788
358	440	786
359	441	784
360	442	782
361	442	780
362	443	778
363	444	776
364	445	774
365	446	772
366	446	770
367	447	768
368	448	766
369	448	764
370	449	762
371	450	759
372	451	759
373	452	757
374	453	755
375	454	753
376	455	752
377	455	750
378	456	748
379	457	746
380	458	744
381	459	742
382	459	740
383	460	738
384	461	737
385	462	735
386	463	733
387	463	731
388	464	729
389	466	729
390	467	727
391	468	727
392	469	725
393	470	723
394	471	721
395	471	719
396	472	718
397	473	716
398	474	715
399	475	713
400	476	711
401	477	709
402	477	707
403	478	705
404	478	703
405	480	702
406	481	701
407	481	699
408	482	697
409	483	695
410	484	694
411	485	692
412	485	690
413	486	688
414	487	687
415	488	685
416	489	684
417	490	682
418	491	681
419	491	679
420	492	677
421	493	676
422	495	675
423	496	674
424	497	672
425	497	670
426	498	668
427	499	667
428	499	665
429	500	663
430	501	661
431	502	660
432	502	658
433	503	656
434	504	654
435	504	652
436	505	651
437	506	649
438	507	647
439	507	646
440	509	645
441	510	644
442	511	643
443	512	641
444	513	639
445	513	638
446	514	637
447	515	635
448	517	634
449	518	633
450	518	631
451	519	630
452	520	628
453	521	626
454	522	625
455	524	625
456	527	626
457	528	624
458	529	623
459	529	622
460	530	620
461	531	618
462	572	663
463	573	662
464	575	662
465	577	661
466	578	660
467	579	658
468	580	657
469	605	683
470	606	681
471	607	679
472	608	677
473	609	675
474	609	674
475	610	672
476	611	670
477	612	668
478	613	666
479	613	664
480	614	663
481	615	661
482	615	659
483	617	657
484	618	656
485	619	655
486	622	655
487	623	654
488	624	652
489	625	651
490	627	650
491	628	648
492	629	647
493	630	645
494	631	644
495	632	642
496	633	641
497	634	639
498	635	638
499	636	636
500	637	634
501	637	632
502	638	630
503	639	629
504	639	627
505	640	625
506	641	623
507	641	621
508	642	620
509	643	618
510	644	616
511	648	618
512	649	616
513	650	615
514	651	613
515	652	611
516	652	609
517	653	608
518	654	606
519	655	604
520	655	602
521	656	601
522	657	599
523	657	597
524	658	595
525	660	595
526	665	596
527	665	595
528	666	593
529	667	591
530	668	590
531	668	588
532	669	586
533	670	585
534	671	583
535	672	581
536	673	580
537	673	578
538	676	578
539	677	577
540	678	575
541	679	574
542	680	572
543	681	571
544	682	569
545	682	567
546	683	566
547	684	564
548	684	562
549	685	561
550	686	559
551	687	557
552	687	555
553	688	554
554	690	553
555	691	552
556	693	551
557	694	550
558	695	548
559	696	547
560	697	545
561	698	544
562	699	542
563	699	540
564	700	539
565	701	537
566	702	536
567	702	534
568	706	534
569	708	534
570	709	533
571	710	531
572	711	529
573	711	528
574	712	526
575	713	525
576	713	523
577	714	521
578	715	520
579	715	518
580	716	516
581	717	515
582	717	513
583	720	513
584	721	512
585	722	510
586	723	509
587	724	507
588	725	506
589	725	504
590	726	502
591	727	501
592	728	499
593	728	498
594	729	496
595	729	494
596	730	493
597	731	491
598	731	489
599	732	488
600	733	486
601	735	485
602	736	484
603	738	483
604	739	482
605	740	481
606	741	480
607	742	478
608	743	477
609	743	475
610	744	474
611	745	472
612	745	470
613	746	469
614	751	470
615	752	469
616	753	467
617	754	466
618	754	464
619	755	463
620	756	461
621	756	459
622	757	458
623	758	456
624	758	455
625	759	453
626	760	452
627	761	450
628	763	450
629	765	449
630	766	448
631	767	446
632	768	445
633	769	443
634	769	442
635	770	440
636	771	439
637	772	438
638	772	436
639	773	434
640	774	433
641	774	432
642	775	430
643	776	429
644	777	428
645	779	427
646	780	425
647	781	424
648	782	423
649	783	421
650	783	420
651	784	418
652	785	417
653	786	415
654	786	414
655	788	413
656	789	412
657	790	410
658	791	409
659	792	408
660	793	407
661	795	406
662	796	404
663	797	403
664	798	402
665	798	400
666	799	399
667	800	397
668	801	396
669	801	395
670	802	393
671	803	392
672	803	390
673	804	389
674	805	387
675	806	386
676	807	385
677	809	384
678	810	383
679	811	381
680	811	380
